id,name,isHighlight,primaryImage,link,countryId,departmentId,accessionYear
221,"Clothes Press",0,https://images.metmuseum.org/CRDImages/ad/original/ADA267.jpg,https://www.metmuseum.org/art/collection/search/2103,1,1,1950
222,"Figure of a Coachman",0,https://images.metmuseum.org/CRDImages/ad/original/140872.jpg,https://www.metmuseum.org/art/collection/search/2105,1,1,1947
223,Coaster,0,https://images.metmuseum.org/CRDImages/ad/original/123922.jpg,https://www.metmuseum.org/art/collection/search/2107,1,1,1941
224,"Coffee Cup",0,https://images.metmuseum.org/CRDImages/ad/original/117639.jpg,https://www.metmuseum.org/art/collection/search/2109,7,1,1939
225,"Coffee Cup and Saucer",0,https://images.metmuseum.org/CRDImages/ad/original/171510.jpg,https://www.metmuseum.org/art/collection/search/2110,7,1,1960
226,"Coffee Cup Saucer",0,https://images.metmuseum.org/CRDImages/ad/original/DP258771.jpg,https://www.metmuseum.org/art/collection/search/2124,1,1,1969
227,"Coffee Urn",0,https://images.metmuseum.org/CRDImages/ad/original/213136.jpg,https://www.metmuseum.org/art/collection/search/2125,1,1,1971
228,Coffeepot,0,https://images.metmuseum.org/CRDImages/ad/original/ADA147.jpg,https://www.metmuseum.org/art/collection/search/2130,1,1,1934
229,Coffret,0,https://images.metmuseum.org/CRDImages/ad/original/DP-13911-011.jpg,https://www.metmuseum.org/art/collection/search/2154,7,1,1971
230,"Perfume Bottle",0,https://images.metmuseum.org/CRDImages/ad/original/DP242904.jpg,https://www.metmuseum.org/art/collection/search/2171,6,1,1940
231,"Communion Cup",0,https://images.metmuseum.org/CRDImages/ad/original/DP243245.jpg,https://www.metmuseum.org/art/collection/search/2181,1,1,1913
232,"Wine Cup",0,https://images.metmuseum.org/CRDImages/ad/original/DP107419.jpg,https://www.metmuseum.org/art/collection/search/2182,1,1,1933
233,"Communion Flagon",0,https://images.metmuseum.org/CRDImages/ad/original/DP243254.jpg,https://www.metmuseum.org/art/collection/search/2183,1,1,1913
234,Compote,0,https://images.metmuseum.org/CRDImages/ad/original/DP207130.jpg,https://www.metmuseum.org/art/collection/search/2186,1,1,1940
235,"Purple marble glass compote",0,https://images.metmuseum.org/CRDImages/ad/original/182070.jpg,https://www.metmuseum.org/art/collection/search/2230,1,1,1946
236,"Condiment Dish",0,https://images.metmuseum.org/CRDImages/ad/original/DP258775.jpg,https://www.metmuseum.org/art/collection/search/2236,1,1,1969
237,"Conestoga Wagon Box",0,https://images.metmuseum.org/CRDImages/ad/original/146131.jpg,https://www.metmuseum.org/art/collection/search/2246,1,1,1949
238,"Conestoga Wagon Jack",0,https://images.metmuseum.org/CRDImages/ad/original/156510.jpg,https://www.metmuseum.org/art/collection/search/2247,1,1,1953
239,"Console Table",0,https://images.metmuseum.org/CRDImages/ad/original/DP-20190-001.jpg,https://www.metmuseum.org/art/collection/search/2249,1,1,1999
240,"Center table",0,https://images.metmuseum.org/CRDImages/ad/original/DP-20189-001.jpg,https://www.metmuseum.org/art/collection/search/2251,1,1,1980
241,"Manuscript Copy of a Resolution of Congress",0,https://images.metmuseum.org/CRDImages/ad/original/45372.jpg,https://www.metmuseum.org/art/collection/search/2254,1,1,1892
242,"Rattle, Whistle, and Bells",0,https://images.metmuseum.org/CRDImages/ad/original/DT11619.jpg,https://www.metmuseum.org/art/collection/search/2255,1,1,1947
243,"Cordial Glass",0,https://images.metmuseum.org/CRDImages/ad/original/186564.jpg,https://www.metmuseum.org/art/collection/search/2256,1,1,1946
244,Cordial,0,https://images.metmuseum.org/CRDImages/ad/original/174246.jpg,https://www.metmuseum.org/art/collection/search/2266,1,1,1946
245,"Corner Cupboard",0,https://images.metmuseum.org/CRDImages/ad/original/118175.jpg,https://www.metmuseum.org/art/collection/search/2268,1,1,1910
246,"Corner Shelves",0,https://images.metmuseum.org/CRDImages/ad/original/97150.jpg,https://www.metmuseum.org/art/collection/search/2271,1,1,1934
247,"Cane couch",0,https://images.metmuseum.org/CRDImages/ad/original/DP205038.jpg,https://www.metmuseum.org/art/collection/search/2277,2,1,1910
248,Daybed,0,https://images.metmuseum.org/CRDImages/ad/original/12077.jpg,https://www.metmuseum.org/art/collection/search/2278,1,1,1910
249,"Court Staff",0,https://images.metmuseum.org/CRDImages/ad/original/137111.jpg,https://www.metmuseum.org/art/collection/search/2283,1,1,1945
